clip_name,run,mapping_version,constants_sha1,T,dur_s,sat_j1,sat_j2,sat_j3,sat_j4,sat_j5,sat_max,rate_cap_frac,max_rate,jerk_rms,range_max_rad,light_range,light_step_per_s,light_max_step,r_head,r_lift,r_yaw,dyn_rms_deg,dyn_max_deg,flags,severity
anim_cozmosays_app_getin,v1.0-baseline,1.0,678e3a5a74fe,35,1.122,0,0,0,0,0,0,0,3.33444,18686.5,0.36931,0.0947196,0,0.0947196,0.944206,0.582411,,,,,0
anim_cozmosays_app_getout_01,v1.0-baseline,1.0,678e3a5a74fe,31,0.99,0,0,0,0,0,0,0.166667,4,21047,0.864201,1.37687e-05,0,1.10865e-05,0.983331,-0.801428,0.975284,4.59728,11.1585,RATE;LOWCORR;DYN,46.667
anim_cozmosays_app_getout_02,v1.0-baseline,1.0,678e3a5a74fe,31,0.99,0,0,0,0,0,0,0.166667,4,17052.9,0.804068,1.37687e-05,0,1.10865e-05,0.983331,-0.801428,0.982563,,,RATE;LOWCORR,21.667
anim_cozmosays_badword_01_head_angle_-20,v1.0-baseline,1.0,678e3a5a74fe,81,2.64,0,0,0,0,0,0,0.3,4,58031.4,1.13264,0.741658,1.13636,0.741258,0.936109,-0.0258387,0.974519,,,RATE;LOWCORR;FLICKER,37
anim_cozmosays_badword_01_head_angle_20,v1.0-baseline,1.0,678e3a5a74fe,81,2.64,0,0,0,0,0,0,0.2125,4,51004.6,1.13264,0.741658,1.13636,0.741258,0.945289,0.96754,0.974519,,,RATE;FLICKER,18.5
anim_cozmosays_badword_01_head_angle_40,v1.0-baseline,1.0,678e3a5a74fe,81,2.64,0,0,0,0,0,0,0.2125,4,50496.1,1.13264,0.741658,1.13636,0.741258,0.94569,0.96754,0.974519,,,RATE;FLICKER,18.5
anim_cozmosays_badword_02_head_angle_-20,v1.0-baseline,1.0,678e3a5a74fe,90,2.937,0,0,0,0,0,0,0.224719,4,41264.8,0.900085,0.835303,1.02145,0.728347,0.938671,-0.501705,0.971232,,,RATE;LOWCORR;FLICKER,33.989
anim_cozmosays_badword_02_head_angle_20,v1.0-baseline,1.0,678e3a5a74fe,90,2.937,0,0,0,0,0,0,0.247191,4,40144.8,0.900085,0.835303,1.02145,0.728347,0.733874,0.986478,0.971232,,,RATE;FLICKER,19.888
anim_cozmosays_badword_02_head_angle_40,v1.0-baseline,1.0,678e3a5a74fe,90,2.937,0,0,0,0,0,0,0.235955,4,44600.1,0.900085,0.835303,1.02145,0.728347,0.950754,0.986478,0.971232,,,RATE;FLICKER,19.438
anim_cozmosays_getin_long_01_head_angle_-20,v1.0-baseline,1.0,678e3a5a74fe,120,3.927,0,0,0,0,0,0,0.109244,4,29623.8,1.31932,0.656148,0.509295,0.638409,0.947128,0.595918,,,,RATE,4.37
anim_cozmosays_getin_long_01_head_angle_20,v1.0-baseline,1.0,678e3a5a74fe,120,3.927,0,0,0,0,0,0,0.0588235,4,26038.9,0.851222,0.656148,0.509295,0.638409,0.966507,0.968683,,,,RATE,2.353
anim_cozmosays_getin_long_01_head_angle_40,v1.0-baseline,1.0,678e3a5a74fe,120,3.927,0,0,0,0,0,0,0.0336134,4,18503.9,0.597036,0.656148,0.509295,0.638409,0.97603,0.979704,,,,,1.345
anim_cozmosays_getin_medium_01,v1.0-baseline,1.0,678e3a5a74fe,93,3.036,0,0,0,0,0,0,0.0978261,4,31662.1,0.915831,0.323568,0,0.26672,0.945568,0.38656,,,,RATE,3.913
anim_cozmosays_getin_medium_01_head_angle_-20,v1.0-baseline,1.0,678e3a5a74fe,93,3.036,0,0,0,0,0,0,0.130435,4,33324.9,0.886875,0.323568,0,0.26672,0.914842,0.441822,,,,RATE,5.217
anim_cozmosays_getin_medium_01_head_angle_20,v1.0-baseline,1.0,678e3a5a74fe,93,3.036,0,0,0,0,0,0,0.0434783,4,23593.5,0.60407,0.323568,0,0.26672,0.958818,0.974628,,,,,1.739
anim_cozmosays_getin_medium_01_head_angle_40,v1.0-baseline,1.0,678e3a5a74fe,93,3.036,0,0,0,0,0,0,0.0652174,4,23870.3,0.636566,0.323568,0,0.26672,0.960825,0.974628,,,,RATE,2.609
anim_cozmosays_getin_short_01_head_angle_-20,v1.0-baseline,1.0,678e3a5a74fe,61,1.98,0,0,0,0,0,0,0.166667,4,34296.8,0.814385,0.212245,0,0.212245,0.962247,0.656733,,,,RATE,6.667
anim_cozmosays_getin_short_01_head_angle_20,v1.0-baseline,1.0,678e3a5a74fe,61,1.98,0,0,0,0,0,0,0,3.66264,15866.1,0.806132,0.212245,0,0.212245,0.937303,0.999033,,,,,0
anim_cozmosays_getin_short_01_head_angle_40,v1.0-baseline,1.0,678e3a5a74fe,61,1.98,0,0,0,0,0,0,0,3.66264,15672.5,0.649053,0.212245,0,0.212245,0.969139,0.999033,,,,,0
anim_cozmosays_getout_long_01_head_angle_-20,v1.0-baseline,1.0,678e3a5a74fe,34,1.089,0,0,0.0294118,0,0,0.0294118,0.30303,4,66776,0.883898,0.483782,1.83655,0.454697,0.926937,0.232683,0.954698,10.1654,23.3625,SAT;RATE;LOWCORR;FLICKER;DYN,65.062
anim_cozmosays_getout_long_01_head_angle_20,v1.0-baseline,1.0,678e3a5a74fe,34,1.089,0,0,0,0,0,0,0.242424,4,45475.4,0.883898,0.483782,1.83655,0.454697,0.925575,0.916567,0.954698,,,RATE;FLICKER,19.697
