clip_name,run,mapping_version,constants_sha1,T,dur_s,sat_j1,sat_j2,sat_j3,sat_j4,sat_j5,sat_max,rate_cap_frac,max_rate,jerk_rms,range_max_rad,light_range,light_step_per_s,light_max_step,r_head,r_lift,r_yaw,dyn_rms_deg,dyn_max_deg,flags,severity
anim_hiccup_getin,v1.1,1.1,2fa8bc4f5012,46,1.485,0,0,0,0,0,0,0.0666667,4,36295.5,0.628181,0.0805116,0,0.066,0.950159,0.224528,,,,RATE;LOWCORR,17.667
anim_hiccup_playercure_getout,v1.1,1.1,2fa8bc4f5012,166,5.445,0,0,0,0,0,0,0.0181818,4,14934.9,1.01111,0.571572,0,0.066,0.962913,0.107392,0.995982,,,LOWCORR,15.727
anim_hiccup_playercure_pickupreact,v1.1,1.1,2fa8bc4f5012,92,3.003,0,0,0,0,0,0,0.021978,4,22383.7,0.759532,0.598428,0,0.066,0.988312,0.133329,,,,LOWCORR,15.879
anim_hiccup_selfcure_getout,v1.1,1.1,2fa8bc4f5012,212,6.963,0,0,0,0,0,0,0.07109,4,26578.2,1.05091,0.374383,0,0.066,0.984128,-0.0596922,0.996753,,,RATE;LOWCORR,17.844
anim_hiccup_turtleroll_01,v1.1,1.1,2fa8bc4f5012,91,2.97,0,0,0,0,0,0,0.233333,4,37764.8,1.29526,0.456441,0,0.066,0.97296,-0.0907725,,,,RATE;LOWCORR,24.333
anim_hiccup_withreaction_01,v1.1,1.1,2fa8bc4f5012,86,2.805,0,0,0,0,0,0,0.129412,4,40687.5,0.808331,0.507632,0,0.066,0.918487,0.0728742,0.97459,,,RATE;LOWCORR,20.176
anim_hiking_driving_end_01,v1.1,1.1,2fa8bc4f5012,11,0.33,0,0,0,0,0,0,0,1.67008,11106.3,0.240034,0.0433342,0,0.0433342,0.958084,,,,,TINY;SHORT,20
anim_hiking_driving_end_02,v1.1,1.1,2fa8bc4f5012,23,0.726,0,0,0,0,0,0,0,3.10942,24058,0.278297,0.0433342,0,0.0433342,0.976023,-0.378772,,,,SHORT;LOWCORR,25
anim_hiking_driving_loop_01,v1.1,1.1,2fa8bc4f5012,58,1.881,0,0,0,0,0,0,0,1.2012,6287.02,0.160687,0.0638942,0,0.0638942,0.791824,,,,,,0
anim_hiking_driving_loop_02,v1.1,1.1,2fa8bc4f5012,75,2.442,0,0,0,0,0,0,0,0.18902,565.109,0.0358895,0.019819,0,0.019819,0.986507,,,,,STATIC,50
anim_hiking_driving_loop_03,v1.1,1.1,2fa8bc4f5012,101,3.3,0,0,0,0,0,0,0,2.46326,5903.33,0.286609,0.0801992,0,0.0517839,0.97493,,,,,,0
anim_hiking_driving_loop_04,v1.1,1.1,2fa8bc4f5012,94,3.069,0,0,0,0,0,0,0,2.55569,10600.9,0.263799,0.0638942,0,0.0638942,0.992365,,,,,,0
anim_hiking_driving_loop_05,v1.1,1.1,2fa8bc4f5012,121,3.96,0,0,0,0,0,0,0,2.90048,9133.63,0.301776,0.45567,0,0.066,0.968501,,,2.38147,8.56919,,0
anim_hiking_driving_loop_06,v1.1,1.1,2fa8bc4f5012,141,4.62,0,0,0,0,0,0,0,3.31304,8304.85,0.43844,0.488147,0,0.066,0.911981,,,,,,0
anim_hiking_driving_start_01,v1.1,1.1,2fa8bc4f5012,116,3.795,0,0,0,0,0,0,0,2.34362,7457.53,0.218207,0.228162,0,0.066,0.95774,,,,,,0
